,january,febuary,march,april,may,june,july,aug,sept,oct,nov,dec,
1,30,30,30,30,40,30,60,30,60,30,30,60,
2,50,30,30,30,40,30,90,30,60,30,30,60,
3,30,30,30,30,40,30,90,30,60,30,30,60,
4,30,30,30,30,40,30,90,30,60,30,30,60,
5,30,30,30,30,40,30,90,30,30,30,30,60,
6,30,30,30,30,40,30,90,30,30,30,30,60,
7,60,30,30,30,40,120,90,30,30,30,30,60,
8,30,30,30,30,40,60,90,30,30,30,30,60,
9,30,30,40,30,40,60,90,30,30,60,30,60,
10,30,30,30,30,40,60,90,30,30,30,30,60,
11,60,30,30,30,40,60,90,30,30,30,30,60,
12,60,100,30,30,40,60,90,30,40,30,30,60,
13,30,30,30,30,40,60,90,30,40,30,30,60,
14,30,30,30,30,40,60,90,30,30,30,30,60,
15,30,30,30,30,40,60,90,30,30,30,30,30,
16,30,30,30,30,40,60,90,30,30,30,30,30,
17,30,200,30,40,40,60,90,60,30,30,30,30,
18,30,30,30,40,40,60,90,60,30,30,30,30,
19,50,30,30,40,40,60,90,60,30,30,30,30,
20,30,30,30,40,30,60,90,60,30,30,30,30,
21,110,30,30,40,40,60,90,60,30,30,30,30,
22,30,30,30,40,30,60,90,60,30,30,30,30,
23,30,30,30,40,30,60,90,60,40,30,30,30,
24,30,30,30,40,40,60,90,60,30,30,30,30,
25,30,30,30,40,40,60,90,60,30,30,30,30,
26,30,30,30,40,40,60,90,60,30,60,30,30,
27,30,30,30,40,40,60,90,60,30,60,30,30,
28,50,30,30,40,40,60,90,60,30,90,30,30,
29,30,,30,40,30,60,90,60,30,60,30,30,
30,30,,30,40,30,60,90,60,30,60,60,30,
31,30,,30,,30,,90,60,,60,,30,
,,,,,,,,,,,,,
Total,1160,1080,940,1040,1180,1680,2760,1380,1050,1170,930,1350,15720
